postcode,attendees
LS7 4JT,4
LS15 7AH,3
LS6 3ER,3
LS7 4LQ,3
LS28 7BT,3
LS3 1JL,3
LS6 4BS,3
LS13 1PU,2
LS28 8PB,2
LS13 3HS,2
LS28 7SU,2
LS28 5HH,2
LS14 5AF,2
LS26 0PW,2
LS6 3QF,2
LS7 3NL,2
LS6 4BZ,2
LS9 8FU,2
LS6 3JS,2
LS12 1QG,2
LS6 3HB,2
LS6 4DH,2
LS21 1HT,2
LS13 1BU,2
LS6 4AF,2
LS3 1BX,2
LS28 5HD,2
LS7 3NX,2
LS7 3DW,2
LS6 1RH,2
LS17 5HS,2
LS10 4AD,1
LS20 9LP,1
LS10 4DD,1
LS3 1FE,1
LS27 8BJ,1
LS17 7DN,1
LS6 2DY,1
LS18 4NP,1
LS10 1JP,1
LS4 2AB,1
LS4 2JU,1
LS12 1LA,1
LS16 5PN,1
LS11 7ND,1
LS13 3DF,1
LS28 7BU,1
LS7 3EX,1
LS28 9HP,1
LS28 5BY,1
LS13 3PB,1
LS24 9JG,1
LS13 1NG,1
LS28 5JW,1
LS28 5TF,1
LS21 2DP,1
LS2 9JT,1
LS18 4QE,1
LS6 4AJ,1
LS6 4EB,1
LS16 7EP,1
LS18 5QG,1
LS16 7SB,1
LS12 2DH,1
LS20 9AG,1
LS8 2PG,1
LS10 1PL,1
LS17 5JH,1
LS6 3PH,1
LS6 2AY,1
LS16 5JZ,1
LS17 8TP,1
LS6 3PD,1
LS6 3LW,1
LS17 8BA,1
LS6 1RP,1
LS16 6HY,1
LS17 6DB,1
HD7 4JF,1
LS13 2BX,1
LS13 3RG,1
LS6 1AD,1
LS17 5HH,1
LS12 1NH,1
LS20 8EL,1
LS20 8DU,1
LS10 4LA,1
LS10 4PB,1
LS10 4LZ,1
LS9 6BE,1
LS13 4JX,1
LS20 9DT,1
LS11 6TN,1
LS16 5LB,1
LS6 1QL,1
LS10 2RE,1
LS17 7TJ,1
LS11 6EF,1
LS5 3EY,1
LS6 4ES,1
LS20 9DB,1
LS6 4QS,1
LS28 7DD,1
BD11 1EX,1
LS8 3TH,1
LS14 6JT,1
LS14 6JJ,1
LS14 2BA,1
LS28 8AQ,1
LS28 7LN,1
LS28 7PZ,1
LS28 7HN,1
LS28 5TS,1
LS28 7EN,1
LS3 1NR,1
LS27 8UW,1
LS27 7RY,1
LS27 8PA,1
WF3 1AQ,1
WF3 1LJ,1
WF3 1JF,1
LS27 9HP,1
LS7 3SA,1
LS12 1NF,1
LS15 7PB,1
LS22 5ES,1
LS7 2RY,1
LS17 6LW,1
LS6 4EJ,1
LS25 1HD,1
LS27 8EU,1
LS25 7NN,1
LS22 6TE,1
LS22 4EB,1
LS8 1BT,1
LS22 6PA,1
LS22 6YE,1
LS7 3EA,1
LS9 6NY,1
LS14 2AA,1
LS18 4JJ,1
LS7 4RX,1
LS14 6JE,1
LS27 0PE,1
LS27 8QQ,1
LS28 5UJ,1
LS27 9NU,1
LS6 3RT,1
LS27 7EX,1
LS14 1BL,1
LS8 3RR,1
LS16 6AB,1
LS7 4JU,1
LS28 5BE,1
LS28 5FW,1
WF3 1JB,1
LS28 5BR,1
LS28 5EJ,1
LS28 8JR,1
LS26 8PS,1
LS13 1HP,1
LS18 5AA,1
LS13 3QD,1
LS13 3EF,1
LS13 1JX,1
LS5 3LF,1
LS6 3FG,1
LS6 3AG,1
LS6 3PF,1
WF3 1LF,1
LS27 9HW,1
LS14 5LS,1
LS6 1HS,1
LS6 3HA,1
LS6 2PF,1
LS4 2TD,1
LS6 1AL,1
LS6 3PZ,1
LS6 3NX,1
LS16 7JE,1
LS6 3LE,1
LS6 2BS,1
LS6 3AD,1
LS6 3DA,1
LS6 2ER,1
