region_code,region,population,count_total,sum_total,sum_total_per_capita
E12000001,NORTH EAST,2680763,785,17797324,6.64
E12000002,NORTH WEST,7367456,1781,39438040,5.35
E12000003,YORKSHIRE AND THE HUMBER,5526350,1363,36577650,6.62
E12000004,EAST MIDLANDS,4865583,975,24333611,5.00
E12000005,WEST MIDLANDS,5961929,1173,34417554,5.77
E12000006,EAST,6269161,1337,27349739,4.36
E12000007,LONDON,9002488,4678,106778666,11.86
E12000008,SOUTH EAST,9217265,2389,50743569,5.51
E12000009,SOUTH WEST,5659143,1814,42019877,7.43
N92000002,NORTHERN IRELAND,1895510,3,44782,0.02
S92000003,SCOTLAND,5466000,31,494650,0.09
W92000004,WALES,3169586,48,740825,0.23
