week_ending,audience_last,engagements_total,audience_gained_total,impressions_total
2022-04-10,15293,822,40,41740
2022-04-17,15339,1357,46,82184
2022-04-24,15381,591,42,24485
2022-05-01,15411,1002,31,39174
2022-05-08,15450,462,39,37120
2022-05-15,15512,984,65,51771
2022-05-22,15594,744,82,44549
2022-05-29,15652,610,58,35435
2022-06-05,15823,4924,172,113090
2022-06-12,15862,257,39,13938
2022-06-19,16003,1596,141,70835
2022-06-26,16083,1915,80,69610
2022-07-03,16164,1049,81,72218
2022-07-10,16237,788,73,29208
2022-07-17,16294,697,57,30136
2022-07-24,16375,728,81,39382
2022-07-31,16480,441,105,15748
2022-08-07,16537,294,57,10975
2022-08-14,16705,4226,168,140356
2022-08-21,16762,595,57,19778
2022-08-28,16817,504,55,17461
2022-09-04,16848,109,31,12217
2022-09-11,16885,181,37,7844
2022-09-18,16919,8,34,927
2022-09-25,17098,4873,179,229108
2022-10-02,17196,1074,98,70094
2022-10-09,17294,603,100,29864
2022-10-16,17386,2024,95,74390
2022-10-23,17434,747,69,30121
2022-10-30,17477,1373,46,52316
2022-11-06,17510,874,54,37320
2022-11-13,17554,914,54,40417
2022-11-20,17679,1462,148,60416
2022-11-27,17801,2783,178,153263
2022-12-04,17765,1006,48,50989
2022-12-11,17806,1491,43,44879
2022-12-18,17867,2286,61,100281
2022-12-25,17912,420,48,20969
2023-01-01,17980,2405,68,113779
2023-01-08,18805,18200,825,662030
2023-01-15,19132,4017,327,144653
2023-01-22,19253,1166,121,53587
2023-01-29,19370,608,117,33191
2023-02-05,19459,849,89,36482
2023-02-12,19513,911,55,45807
2023-02-19,19602,976,89,54654
2023-02-26,19643,955,41,56270
2023-03-05,19723,747,80,54929
2023-03-12,19779,1059,61,55384
2023-03-19,19772,734,21,31037
2023-03-26,19828,779,58,38639
2023-04-02,19888,1834,60,86655
2023-04-09,19945,1169,59,65734
2023-04-16,20003,1195,58,77641
2023-04-23,20096,2773,93,150376
2023-04-30,20164,1999,68,113443
2023-05-07,20262,5741,98,207001
2023-05-14,20334,3109,77,163693
2023-05-21,20391,1276,57,67421
2023-05-28,20432,1989,41,91901
2023-06-04,20477,995,45,47236
2023-06-11,20532,1328,55,67332
2023-06-18,20601,2516,69,93988
2023-06-25,20664,946,70,47726
2023-07-02,20691,607,31,36004
2023-07-09,20737,772,48,44879
2023-07-16,20798,1788,61,77206
2023-07-23,20848,756,52,48307
2023-07-30,20852,472,26,25459
2023-08-06,20869,1121,29,39690
2023-08-13,20894,558,30,28492
2023-08-20,20918,816,28,50010
2023-08-27,20937,747,21,43518
2023-09-03,20951,862,21,39642
2023-09-10,20998,2740,47,53654
2023-09-17,21042,738,46,29549
2023-09-24,21082,652,40,31241
2023-10-01,21125,496,43,27150
2023-10-08,21179,577,54,28547
2023-10-15,21235,651,56,32089
2023-10-22,21276,407,56,31592
2023-10-29,21301,400,27,23898
2023-11-05,21351,267,51,20230
2023-11-12,21380,269,33,16748
2023-11-19,21398,152,22,8533
2023-11-26,21427,1326,31,53983
2023-12-03,21452,528,25,26953
2023-12-10,21472,319,21,16714
2023-12-17,21496,304,25,17034
2023-12-24,21491,1174,7,56313
2023-12-31,21507,973,20,46915
