date,volunteer_shifts,volunteer_hours,volunteer_event_shifts,volunteer_event_hours,cumulative_volunteer_shifts,cumulative_volunteer_hours,cumulative_volunteer_event_shifts,cumulative_volunteer_event_hours
2022-10-14,30,20,0,0,30,20,0,0
2022-10-21,12,8,0,0,42,28,0,0
2022-10-28,0,0,0,0,42,28,0,0
2022-11-04,21,63,0,0,63,91,0,0
2022-11-11,14,42,0,0,77,133,0,0
2022-11-18,3,14,3,14,80,147,3,14
2022-11-25,99,62,2,9,179,209,5,23
2022-12-02,42,41,0,0,221,250,5,23
2022-12-09,4,13,4,13,225,263,9,36
2022-12-16,179,545,6,21,404,808,15,57
2022-12-23,71,206,0,0,475,1014,15,57
2022-12-30,0,0,0,0,475,1014,15,57
2023-01-06,58,44,0,0,533,1058,15,57
2023-01-13,195,1054,134,993,728,2112,149,1050
2023-01-20,0,0,0,0,728,2112,149,1050
2023-01-27,18,36,0,0,746,2148,149,1050
2023-02-03,61,191,0,0,807,2339,149,1050
2023-02-10,150,217,11,14,957,2556,160,1064
2023-02-17,28,54,7,30,985,2610,167,1094
2023-02-24,23,61,6,27,1008,2671,173,1121
2023-03-03,38,90,9,32,1046,2761,182,1153
2023-03-10,16,57,16,57,1062,2818,198,1210
2023-03-17,193,416,12,46,1255,3234,210,1256
2023-03-24,156,133,3,15,1411,3367,213,1271
2023-03-31,84,176,68,158,1495,3543,281,1429
2023-04-07,134,319,66,255,1629,3862,347,1684
2023-04-14,171,525,28,96,1800,4387,375,1780
2023-04-21,165,512,43,145,1965,4899,418,1925
2023-04-28,173,543,79,296,2138,5442,497,2221
2023-05-05,84,288,67,262,2222,5730,564,2483
2023-05-12,79,249,59,219,2301,5979,623,2702
2023-05-19,150,556,124,510,2451,6535,747,3212
2023-05-26,67,251,51,219,2518,6786,798,3431
2023-06-02,254,726,85,272,2772,7512,883,3703
2023-06-09,74,90,14,42,2846,7602,897,3745
2023-06-16,132,239,43,172,2978,7841,940,3917
2023-06-23,150,429,87,339,3128,8270,1027,4256
2023-06-30,64,204,16,56,3192,8474,1043,4312
2023-07-07,186,655,42,187,3378,9129,1085,4499
2023-07-14,157,594,84,382,3535,9723,1169,4881
2023-07-21,33,119,14,76,3568,9842,1183,4957
2023-07-28,141,344,69,264,3709,10186,1252,5221
2023-08-04,49,198,49,198,3758,10384,1301,5419
2023-08-11,148,609,116,535,3906,10993,1417,5954
2023-08-18,60,154,27,104,3966,11147,1444,6058
2023-08-25,334,397,20,78,4300,11544,1464,6136
2023-09-01,125,409,115,404,4425,11953,1579,6540
2023-09-08,157,624,136,601,4582,12577,1715,7141
2023-09-15,97,312,96,307,4679,12889,1811,7448
2023-09-22,170,476,69,206,4849,13365,1880,7654
2023-09-29,77,233,51,181,4926,13598,1931,7835
2023-10-06,79,169,45,143,5005,13767,1976,7978
2023-10-13,224,1134,198,1059,5229,14901,2174,9037
2023-10-20,117,368,64,262,5346,15269,2238,9299
2023-10-27,94,310,94,310,5440,15579,2332,9609
2023-11-03,144,456,96,386,5584,16035,2428,9995
2023-11-10,57,220,57,220,5641,16255,2485,10215
2023-11-17,133,327,122,309,5774,16582,2607,10524
2023-11-24,77,269,64,246,5851,16851,2671,10770
2023-12-01,60,156,41,137,5911,17007,2712,10907
2023-12-08,34,175,34,175,5945,17182,2746,11082
2023-12-15,38,92,21,80,5983,17274,2767,11162
2023-12-22,23,74,23,74,6006,17348,2790,11236
2023-12-29,64,280,64,280,6070,17628,2854,11516
2024-01-05,28,144,28,144,6098,17772,2882,11660
